route_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_url
1,1,Queen-River,3,80298f,ffffff,https://www.grt.ca/en/schedules-maps/schedules.aspx
2,2,Stirling,3,fcb94c,000000,https://www.grt.ca/en/schedules-maps/schedules.aspx
3,3,Ottawa South,3,f05a71,ffffff,https://www.grt.ca/en/schedules-maps/schedules.aspx
4,4,Glasgow-Margaret,3,806950,ffffff,https://www.grt.ca/en/schedules-maps/schedules.aspx
5,5,Erb,3,008fd4,ffffff,https://www.grt.ca/en/schedules-maps/schedules.aspx
6,6,Bridge-Courtland,3,2e3092,ffffff,https://www.grt.ca/en/schedules-maps/schedules.aspx
7,7,King,3,ed1c24,ffffff,https://www.grt.ca/en/schedules-maps/schedules.aspx
8,8,Weber,3,00a550,ffffff,https://www.grt.ca/en/schedules-maps/schedules.aspx
9,9,Lakeshore,3,f7931d,ffffff,https://www.grt.ca/en/schedules-maps/schedules.aspx
10,10,Pioneer,3,0071bb,ffffff,https://www.grt.ca/en/schedules-maps/schedules.aspx
12,12,Westmount,3,ec008b,ffffff,https://www.grt.ca/en/schedules-maps/schedules.aspx
13,13,Laurelwood,3,ffca04,000000,https://www.grt.ca/en/schedules-maps/schedules.aspx
14,14,Bathurst,3,496e6d,ffffff,https://www.grt.ca/en/schedules-maps/schedules.aspx
16,16,Strasburg-Belmont,3,86ac51,ffffff,https://www.grt.ca/en/schedules-maps/schedules.aspx
19,19,Hazel,3,00ff00,000000,https://www.grt.ca/en/schedules-maps/schedules.aspx
20,20,Victoria-Frederick,3,c7a0ca,000000,https://www.grt.ca/en/schedules-maps/schedules.aspx
21,21,Elmira,3,a6ce38,000000,https://www.grt.ca/en/schedules-maps/schedules.aspx
22,22,Laurentian West,3,756fb3,ffffff,https://www.grt.ca/en/schedules-maps/schedules.aspx
23,23,Idlewood,3,f6adcd,000000,https://www.grt.ca/en/schedules-maps/schedules.aspx
26,26,Trillium,3,5a2a00,ffffff,https://www.grt.ca/en/schedules-maps/schedules.aspx
27,27,Morrison,3,f58245,ffffff,https://www.grt.ca/en/schedules-maps/schedules.aspx
28,28,Franklin North,3,ff00ff,ffffff,https://www.grt.ca/en/schedules-maps/schedules.aspx
29,29,Keats-University,3,a54686,ffffff,https://www.grt.ca/en/schedules-maps/schedules.aspx
